sa_two,count,density,area,scale
Carlton,413,13171,1.819,3.136
Docklands,387,7597,2.444,5.094
East Melbourne,71,1801,2.9,3.942
Kensington (Vic.),66,5449,2.147,1.211
Melbourne CBD - East,488,17079,0.802,2.857
Melbourne CBD - North,1199,41985,0.5616,2.856
Melbourne CBD - West,612,21419,1.005,2.857
North Melbourne,170,7927,2.425,2.145
Parkville,83,2046,4.049,4.057
Port Melbourne,30,6053,2.789,0.496
South Yarra - North,8,11656,1.170,0.069
South Yarra - South,6,7835,1.347,0.077
South Yarra - West,13,4622,1.503,0.281
Southbank (West) - South Wharf,66,"9,258",0.8496,0.713
Southbank - East,173,"24,164",0.804,0.716
West Melbourne - Residential,99,11278,0.8247,0.878
